year,REGION,cmip6_tas_ssp126_Annual,cmip6_tas_ssp126_MAM,cmip6_tas_ssp126_JJAS,cmip6_tas_ssp126_SON,cmip6_tas_ssp126_DJF,cmip6_tas_ssp245_Annual,cmip6_tas_ssp245_MAM,cmip6_tas_ssp245_JJAS,cmip6_tas_ssp245_SON,cmip6_tas_ssp245_DJF,cmip6_tas_ssp370_Annual,cmip6_tas_ssp370_MAM,cmip6_tas_ssp370_JJAS,cmip6_tas_ssp370_SON,cmip6_tas_ssp370_DJF,cmip6_tas_ssp585_Annual,cmip6_tas_ssp585_MAM,cmip6_tas_ssp585_JJAS,cmip6_tas_ssp585_SON,cmip6_tas_ssp585_DJF,cmip6_pr_ssp126_Annual,cmip6_pr_ssp126_MAM,cmip6_pr_ssp126_JJAS,cmip6_pr_ssp126_SON,cmip6_pr_ssp126_DJF,cmip6_pr_ssp245_Annual,cmip6_pr_ssp245_MAM,cmip6_pr_ssp245_JJAS,cmip6_pr_ssp245_SON,cmip6_pr_ssp245_DJF,cmip6_pr_ssp370_Annual,cmip6_pr_ssp370_MAM,cmip6_pr_ssp370_JJAS,cmip6_pr_ssp370_SON,cmip6_pr_ssp370_DJF,cmip6_pr_ssp585_Annual,cmip6_pr_ssp585_MAM,cmip6_pr_ssp585_JJAS,cmip6_pr_ssp585_SON,cmip6_pr_ssp585_DJF,cmip6_tasmax_ssp126_Annual,cmip6_tasmax_ssp126_MAM,cmip6_tasmax_ssp126_JJAS,cmip6_tasmax_ssp126_SON,cmip6_tasmax_ssp126_DJF,cmip6_tasmax_ssp245_Annual,cmip6_tasmax_ssp245_MAM,cmip6_tasmax_ssp245_JJAS,cmip6_tasmax_ssp245_SON,cmip6_tasmax_ssp245_DJF,cmip6_tasmax_ssp370_Annual,cmip6_tasmax_ssp370_MAM,cmip6_tasmax_ssp370_JJAS,cmip6_tasmax_ssp370_SON,cmip6_tasmax_ssp370_DJF,cmip6_tasmax_ssp585_Annual,cmip6_tasmax_ssp585_MAM,cmip6_tasmax_ssp585_JJAS,cmip6_tasmax_ssp585_SON,cmip6_tasmax_ssp585_DJF,cmip6_tasmin_ssp126_Annual,cmip6_tasmin_ssp126_MAM,cmip6_tasmin_ssp126_JJAS,cmip6_tasmin_ssp126_SON,cmip6_tasmin_ssp126_DJF,cmip6_tasmin_ssp245_Annual,cmip6_tasmin_ssp245_MAM,cmip6_tasmin_ssp245_JJAS,cmip6_tasmin_ssp245_SON,cmip6_tasmin_ssp245_DJF,cmip6_tasmin_ssp370_Annual,cmip6_tasmin_ssp370_MAM,cmip6_tasmin_ssp370_JJAS,cmip6_tasmin_ssp370_SON,cmip6_tasmin_ssp370_DJF,cmip6_tasmin_ssp585_Annual,cmip6_tasmin_ssp585_MAM,cmip6_tasmin_ssp585_JJAS,cmip6_tasmin_ssp585_SON,cmip6_tasmin_ssp585_DJF,cmip6_ws_ssp126_Annual,cmip6_ws_ssp126_MAM,cmip6_ws_ssp126_JJAS,cmip6_ws_ssp126_SON,cmip6_ws_ssp126_DJF,cmip6_ws_ssp245_Annual,cmip6_ws_ssp245_MAM,cmip6_ws_ssp245_JJAS,cmip6_ws_ssp245_SON,cmip6_ws_ssp245_DJF,cmip6_ws_ssp370_Annual,cmip6_ws_ssp370_MAM,cmip6_ws_ssp370_JJAS,cmip6_ws_ssp370_SON,cmip6_ws_ssp370_DJF,cmip6_ws_ssp585_Annual,cmip6_ws_ssp585_MAM,cmip6_ws_ssp585_JJAS,cmip6_ws_ssp585_SON,cmip6_ws_ssp585_DJF
2025,INDIA,0.24719068,0.030523468,0.51827526,0.42878556,-0.0336422,0.36385164,0.2441682,0.6350622,0.4359167,-0.051073093,0.20033945,0.4791504,0.3767504,-0.12569006,-0.48599896,-0.17515123,0.4006871,-0.09851675,-1.1324909,-0.38954514,-0.9535076866206766,-0.5753039574691856,-1.8353244792375447,-0.6972050122310478,-0.09395025934286202,-0.3190054187212367,-0.1448861343957506,-0.5485151332184179,-0.3480249566034616,-0.01956405816684882,-0.12165337896386572,0.14498594078755628,-0.6437973518365174,0.3084342728753777,-0.06922987932325757,0.6892734640913679,0.42321286365563815,1.005496587786973,1.1691416350628263,-0.25782443885177736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,INDIA,0.50997037,0.74002427,0.5981243,0.3246564,0.49266237,0.6172159,1.4141928,0.51383805,0.1874712,0.07654196,0.124949835,-0.75322956,0.905127,0.3635896,-0.21185064,0.31802684,0.09544241,0.47536036,0.8060479,0.056730945,-0.13113926713490925,0.16298696480084232,-0.3060674176555133,-0.044059653476621004,-0.08760722517078462,-0.10066039469038304,-0.14048121570143907,0.19683083225313994,-0.503220997112669,-0.09240526858327897,-0.7707222143603215,0.10269310560435847,-2.5300687383141853,0.41414035978242875,-0.32573345061809106,-0.595730426756463,-0.11816974059694546,-1.2364341242432204,-0.39244493170686934,-0.17024067729062276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,INDIA,0.26743504,0.11362772,-0.089692354,0.2918206,0.6922109,0.028238919,0.009736927,-0.034413807,0.21778405,-0.17250818,0.040485356,-0.5741964,0.17156808,0.14366919,0.48499724,0.19458298,-0.54560864,0.48024,0.37726995,0.30142248,-0.1053272189386263,0.5185139948477755,-0.09652217492753977,-0.7412318340971286,-0.04306494478379706,-0.3159938488318101,-0.48420763184681,-0.7610806750025223,0.3315488505187401,0.11990841542150411,0.32172063205079826,0.6584098993997106,0.1849383719193906,0.5709503235075516,-0.26566953386868863,-0.34567287952956405,-0.1705367220555237,-0.640204860017134,-0.28426555796243214,0.09758525015375671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,INDIA,0.58857137,0.18455863,0.8484675,0.11800438,1.015074,0.24384497,0.7250242,0.250304,0.10423368,-0.28781757,0.3249381,0.6230119,0.63037115,-0.11730113,-0.2436807,0.20679393,0.4813548,0.5016694,0.5971575,-0.7834759,-0.39984436709008575,0.060978265161718934,-0.8754395003375975,-0.46679078137523944,0.1288997996519167,0.773492065493137,0.24291150136629233,1.8216281255766291,0.5322911884609814,-0.24991205999108762,0.2224058372075878,0.08391028387752707,-0.01666834386862552,0.993822359302738,0.12336801968930682,-0.12074209984896352,-0.27843969640847777,-0.35164475865685596,-0.014170819873179986,0.2847450708341266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,INDIA,0.5798897,0.33047882,0.6824946,0.16108601,0.96962947,0.4467322,-0.030824943,1.0086263,-0.11742541,0.52438235,0.056836028,0.067474075,0.5075214,-0.24917527,-0.2217487,-0.3025009,-0.6553637,0.4425714,-0.5552444,-0.6845327,0.06641106337552871,0.5411916628306782,-0.301052214596655,0.3592286535746999,-0.12058377482560968,-0.33219997701709125,-0.22334363201157242,-1.168455646976727,0.3618568151047628,0.05045404090822812,0.501098751495474,0.0425792935934497,0.7814705603343468,0.6696382118649427,0.2821969543959658,0.6137345619326255,0.7916054873199793,0.6617223358556715,0.8224421622103523,-0.19782411904999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,INDIA,-0.046593416,-0.18967237,0.41235933,-0.5109964,-0.04380338,0.31744555,-0.08865599,0.51069295,0.08329989,0.46387827,0.07139435,0.04190511,0.45745277,0.12361865,-0.6147993,-0.0061809644,0.0128998095,0.25493348,-0.03049638,-0.22156079,0.5108197607432325,0.47675717234102816,1.0216638872497505,-0.1573806727234263,0.241475127462627,-0.37319146730676855,-0.09941983745005553,-0.6277678171634703,-0.460819314376696,0.08891561240573345,-0.4019148411498339,-0.22223802075420707,-1.0531792426907023,-0.28029293109065057,0.26143870985196505,0.04070294971845753,-0.25352810875445486,-0.010815323424016319,0.3912976032309388,0.12031245610015738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,INDIA,0.030879837,0.2811927,-0.49051368,0.12303058,0.38862935,0.5594308,-0.6522596,1.2073963,1.2239071,0.52337784,0.62568647,-0.24541005,1.1611705,0.7140198,0.66603595,0.21946527,0.09251581,0.9335177,-0.25277418,-0.46064064,0.12825752182025754,0.01519108862784493,0.39929562577407657,0.22769237122809644,0.09370239876083271,-0.9005482346457933,0.7817508039935035,-2.418635434175408,-1.1037157284493424,-0.10941217021154072,-0.271228440458533,-0.18209758074187474,-0.40033349277085173,-0.17766661670842773,-0.22423817061722143,0.03791735523036328,-0.383809140119187,0.47214254727501126,-0.32125734271562106,0.13368799685235738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,INDIA,0.30405495,0.57550776,0.8506585,-0.4938669,-0.36039662,0.702481,1.1832086,0.9574812,-0.14399529,0.15641692,0.24629803,0.15777655,0.21489212,0.08295999,0.478741,0.69895893,0.44490448,0.6210805,0.8111381,1.0775065,-0.10044085037807138,0.16451893212927632,0.05029976395006757,-0.4725124633538095,-0.019740388819685904,-0.519021779199323,-0.5699862571714189,-0.365955435675787,-0.7852891837583714,-0.07786545596300563,-0.12910664696985066,0.09927162110456375,-0.10943890309116759,-0.24873407001627718,-0.11520315290860204,-0.5084178156973531,-0.2776462584651275,-0.6999951294253536,-0.5834037109849536,-0.2883552753394336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,INDIA,-0.012099795,0.47028333,0.0057870545,-0.62272674,0.032352675,0.3091641,0.2454961,0.22481483,0.23259619,0.57036734,0.60662603,0.03395718,1.4991198,0.5497269,0.15897031,0.7050483,0.84406435,0.690002,-0.08814884,1.0043118,0.9803028582481207,0.5546819558977749,1.8992243434462242,0.9176635050891732,-0.009033696458200692,0.012929827183802712,0.16198645145632695,0.7054046882660034,-0.7156391840647158,-0.5002822937063748,0.04150537254747907,-0.12031150306185344,0.5803490354180671,-0.32974924633094793,-0.2707294286653245,0.4468094639694859,1.2696284126623503,0.2763263272755282,0.3458135909288981,-0.30410277057992785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,INDIA,0.18319088,0.123234026,0.28811187,0.03812051,0.12482648,0.64106816,0.6042383,0.52369195,0.5802743,1.0379965,0.8514044,0.8452817,0.7493727,1.1169696,0.77038306,0.33000544,0.41774508,-0.11025826,0.38680407,0.67050546,0.23794408463609737,1.1003978117608924,-0.003774900846396092,0.20394121581247224,-0.4367187799901936,-0.48642769232328115,-0.4166492759208396,-1.1776980236712449,0.15477023364251205,-0.1771464896372642,-0.6673573239508346,-0.22024998120745806,-1.5910695119428149,-0.2847615347882106,-0.12281799364377788,-0.40712867710222533,0.6069742991854876,-0.9259877672658433,-0.7711518552192598,-0.2111079932162069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
